data,concessoes_milhoes,inadimplencia_nao_consignado_pct,juros_nao_consignado_pct_mes,saldo_nao_consignado_milhoes,inadimplencia_consignado_pct,selic_pct_mes,ipca_pct_mes,concessoes_media_movel_3m,concessoes_var_12m_pct_mm3,concessoes_media_movel_6m,concessoes_var_12m_pct_mm6,concessoes_var_12m_pct,saldo_var_12m_pct,inadimplencia_var_12m_pp,diferencial_inadimplencia_pp,premio_sobre_selic_pp,indice_precos_ipca,concessoes_reais_milhoes,saldo_real_milhoes,concessoes_reais_media_movel_3m,concessoes_reais_var_12m_pct_mm3,concessoes_reais_media_movel_6m,concessoes_reais_var_12m_pct_mm6,concessoes_reais_var_12m_pct,saldo_real_var_12m_pct,limite_neutro_concessoes_pct,limite_neutro_inadimplencia_pp,janela_media_movel_meses,percentil_neutro,modo_limite,movimento_concessoes_real,movimento_inadimplencia,cenario_principal
2015-06-01,7567,7.17,6.49,107274,2.26,1.07,0.79,7371.0,6.764194669756662,7289.166666666667,6.842722431230763,6.764194669756662,4.65858203494669,-0.020000000000000462,4.91,5.42,1.327011304150166,12996.660100748315,184247.8810159475,12757.49924494037,-1.6216814442066796,12785.071379947318,-1.1935207067693687,-1.6216814442066796,-3.8898831199240647,3.1254131737243296,0.41999999999999993,3,0.2,expanding,Estavel,Estavel,Transicao/estabilidade
2015-07-01,7068,7.51,6.62,107344,2.27,1.18,0.62,7253.333333333333,5.446792013956192,7288.5,7.112939966198839,5.446792013956192,4.827101297838898,0.04999999999999982,5.24,5.44,1.335238774235897,12064.803555879947,183232.07030310936,12465.215110037383,-3.2389308505483383,12672.859573976291,-1.2743937927873317,-3.2389308505483383,-4.318725846014837,2.496930473439836,0.4179999999999998,3,0.2,expanding,Queda,Estavel,Transicao/estabilidade
2015-08-01,6871,7.96,6.79,107916,2.28,1.11,0.22,7168.666666666667,5.442243577172001,7386.833333333333,7.93940722339932,5.442243577172001,4.740274866061034,0.4500000000000002,5.68,5.68,1.3381762995392161,11702.786020225101,183804.08327151972,12254.749892284453,-3.5372702813964207,12760.495988855351,-0.71939876757936,-3.5372702813964207,-4.369359303030407,2.699687681163781,0.40999999999999925,3,0.2,expanding,Queda,Alta,Aperto com deterioração
2015-09-01,6686,8.15,6.72,108371,2.28,1.11,0.54,6875.0,-2.204836415362732,7123.0,2.2391273144825696,-2.204836415362732,4.704256922571548,0.7400000000000002,5.870000000000001,5.609999999999999,1.345402451556728,11326.528107732873,183587.67238455266,11698.039227945972,-10.695430652116755,12227.769236443171,-6.181398452688236,-10.695430652116755,-4.3737193478497804,2.902444888887726,0.4119999999999994,3,0.2,expanding,Queda,Alta,Aperto com deterioração
2015-10-01,5940,8.06,7.16,108243,2.27,1.11,0.82,6499.0,-9.911283615192678,6876.166666666667,-2.4149675954396987,-9.911283615192678,4.204050983865382,0.5100000000000007,5.790000000000001,6.05,1.3564347516594932,9980.911084882198,181879.42063314878,11003.408404280059,-17.798984782060877,11734.31175715872,-10.658499525917865,-17.798984782060877,-5.208138475156032,3.10520209661167,0.41399999999999954,3,0.2,expanding,Queda,Alta,Aperto com deterioração
2015-11-01,6234,8.97,6.81,108331,2.28,1.06,1.01,6286.666666666667,-11.351351351351347,6727.666666666667,-3.1316743058721896,-11.351351351351347,4.5060775612579596,1.4700000000000006,6.690000000000001,5.75,1.370134742651254,10370.17698736959,180207.19332992221,10559.20539332822,-19.383032105934504,11406.977642806336,-11.581092445330022,-19.383032105934504,-5.403972506793819,3.1254131737243296,0.41599999999999965,3,0.2,expanding,Queda,Alta,Aperto com deterioração
2015-12-01,7329,9.79,6.7,107452,2.3,1.16,0.96,6501.0,-7.769790977016933,6688.0,-4.991002935884081,-7.769790977016933,4.730065595181232,2.139999999999999,7.489999999999999,5.54,1.383288036180706,12075.767711844976,177045.35300493467,10808.951928032255,-16.486932241232743,11253.495577989115,-13.573811447514316,-16.486932241232743,-5.370239947304811,3.145624250836989,0.4179999999999998,3,0.2,expanding,Queda,Alta,Aperto com deterioração
2016-01-01,6199,9.88,6.73,107742,2.3,1.06,1.27,6587.333333333333,-4.807321772639694,6543.166666666667,-7.412386208197718,-4.807321772639694,4.034220385462128,2.000000000000001,7.580000000000001,5.67,1.400855794240201,10085.81168508112,175296.90636780288,10843.91879476523,-13.915894189003875,10923.663599522644,-15.916403335888884,-13.915894189003875,-6.026823582403084,3.1658353279496487,0.41999999999999993,3,0.2,expanding,Queda,Alta,Aperto com deterioração
2016-02-01,6380,10.09,6.91,107726,2.3,1.0,0.9,6636.0,-3.2088681446907796,6461.333333333333,-7.348899457495883,-3.2088681446907796,3.319426461420427,2.3,7.79,5.91,1.4134634963883626,10287.710420830615,173707.50670758606,10816.429939252237,-12.469153538841283,10687.817666290228,-16.02668533166757,-12.469153538841283,-6.376506338006704,3.1860464050623083,0.41999999999999993,3,0.2,expanding,Queda,Alta,Aperto com deterioração
2016-03-01,7204,10.09,7.04,108045,2.28,1.16,0.43,6594.333333333333,-8.505226158542223,6547.666666666667,-8.141601197156746,-8.505226158542223,2.829488350845133,2.7,7.8100000000000005,5.88,1.4195413894228324,11566.668633912384,173475.9456622798,10646.730246608038,-16.904499573552357,10727.841087320148,-16.694660589975086,-16.904499573552357,-5.9947194453956465,3.206257482174968,0.41999999999999993,3,0.2,expanding,Queda,Alta,Aperto com deterioração
